??? ?????,?????,???,??????? ?????? ?? ???????,?????,??? ?? ????,????
???,16/07/2018,,???????,???? ??? ???,????? ?????,http://www.kolhazman.co.il/322936
????,08/07/2018,8,???????,?????,?????,"https://www.ynet.co.il/articles/0,7340,L-5306506,00.html"
??????,16/07/2018,,???????,???? ???????,????,https://haipo.co.il/item/101660
??????,16/07/2018,16,???????,???? ???? ????,???? 4,https://haipo.co.il/item/101658
??????,13/07/2018,8,???????,???? ????? ???? ?????????,????,https://haipo.co.il/item/101476
????,06/07/2018,50,???????,???? ??? ????,???? 5,http://mynetroshhaayin.co.il/article/304000/3
????,07/07/2018,27,??????? ???????,??? ???? ?????,???????,http://mynetjerusalem.co.il/article/304094/4
?????? ?? ???,05/07/2018,16,???????,???? ?? ???,??? ?????,http://mynetpetahtikva.co.il/article/303944/3
???,23/07/2018,63,???????,?'????????,??? ??,http://www.maariv.co.il/breaking-news/Article-652707
??????,25/07/2018,54,???????,??? ?????,???? ????,http://www.israelhayom.co.il/article/574219
??????,26/07/2018,13,???????,? ??? ???? ???? ?????????,??? ???,http://www.maariv.co.il/breaking-news/Article-653251
??????,29/07/2018,40,???????,??? ?????,???????,https://www.0404.co.il/?p=211326
??,29/07/2018,8,???????,"??' ??? ???? ???? ????""?",?????,https://www.ashdodnet.com/article/307867/7
??????,01/08/2018,31,???????,???? ????,?????,http://www.kolhazman.co.il/328692
????,03/08/2018,30,???????,???? 2 - ???? ????? ?????? ??????,??????,"http://www.local.co.il/document/52,80,154514.aspx"
??????,04/08/2018,8,???????,?'????????,??? ?????,https://www.mivzaklive.co.il/archives/198136
??????,04/08/2018,26,???????,?'????????,??? ???,https://www.mivzaklive.co.il/archives/198161
???,12/08/2018,25,???????,???????,?? ????,http://www.maariv.co.il/breaking-news/Article-655996
????,15/08/2018,20,???????,????? ???? ???????,????,https://news.walla.co.il/item/3181323
???,15/08/2018,40,??????? ???????,????,??? ??,https://www.0404.co.il/?p=223753
????,16/08/2018,50,??????? ???????,"???? ???? ?????? ???""?",??? ???,http://www.ch10.co.il/news/453387/
??,18/08/2018,55,??????? ???????,????? ??????,?????,https://www.ashdodnet.com/article/311053/2
??????,22/08/2018,18,???????,??????,????,https://www.0404.co.il/?p=229151
??????,22/08/2018,17,??????? ???????,?????? ???? ?? ??? ???? ??? ????,?????,https://www.0404.co.il/?p=229315
????,24/08/2018,35,???????,"??' ??? ?? ??????, ???? ???? ??????",??????,https://www.kan-ashkelon.co.il/news/23970
??????,29/08/2018,13,???????,??' ???????,???,http://www.maariv.co.il/breaking-news/Article-659020
??????,30/08/2018,16,???????,???? ?? ???,????,https://www.0404.co.il/?p=235202
??????,30/08/2018,12,??????? ???????,????,????,http://www.maariv.co.il/breaking-news/Article-659201
????,31/08/2018,16,??????? ???????,???? ?? ???,??????,https://www.10.tv/news/171528
??????,31/08/2018,15,??????? ???????,???? ?? ???,??????,https://www.10.tv/news/171528
???,31/08/2018,14,??????? ???????,?????????,??? ???,http://www.maariv.co.il/breaking-news/Article-659332
??,02/09/2018,42,??????? ???????,????? ??????,?????,http://www.kolhazman.co.il/337352
????,02/09/2018,60,??????? ???????,???? 40 - ???? ????-??? ????? ??????,????-???,https://www.israelhayom.co.il/article/584255
???,11/09/2018,16,??????? ???????,???? 40 - ???? ?????,??? ?????,http://mynetpetahtikva.co.il/article/314636/3
???,12/09/2018,30,??????? ????????,???? ???? ?? ??,??? ??,https://www.srugim.co.il/277599-%D7%A2%D7%A3-10-%D7%9E%D7%98%D7%A8%D7%99%D7%9D-%D7%A8%D7%95%D7%9B%D7%91-%D7%90%D7%95%D7%A4%D7%A0%D7%99%D7%99%D7%9D-%D7%A0%D7%A4%D7%A6%D7%A2-%D7%A7%D7%A9%D7%94-%D7%9E%D7%A4%D7%92%D7%99%D7%A2%D7%AA
??????,13/09/2018,50,??????? ???????,????? ????,??? ?????,http://mynetpetahtikva.co.il/article/315099/5
??????,13/09/2018,15,??????? ???????,,???,http://www.maariv.co.il/breaking-news/Article-661125
??????,15/09/2018,14,??????? ???????,??? ???,??????,http://www.maariv.co.il/breaking-news/Article-661274
??????,16/09/2018,14,??????? ???????,??? ?? ???????,??? ?????,http://mynetpetahtikva.co.il/article/315327/7
??????,16/09/2018,15,??????? ???????,???????,?????,https://www.kan-ashdod.co.il/law/39565
??????-???,16/09/2018,17,??????? ???????,???????,?????,https://www.kan-ashdod.co.il/law/39565
???,17/09/2018,30,??????? ???????,?? ???????,??? ?????,https://www.0404.co.il/?p=248103
??????,20/09/2018,15,??????? ???????,???????,?????,"http://www.local.co.il/document/52,76,156445.aspx"
??????,22/09/2018,11,??????? ???????,???? ????,????,http://www.ch10.co.il/news/459401/
??????,24/09/2018,16,???????,,??'???,http://www.maariv.co.il/breaking-news/Article-662363
????,24/09/2018,16,??????? ???????,????,?? ????,"https://www.ynet.co.il/articles/0,7340,L-5356969,00.html"
??????,24/09/2018,16,??????? ???????,????,?? ????,"https://www.ynet.co.il/articles/0,7340,L-5356969,00.html"
??,27/09/2018,17,??????? ???????,????? ???? ???? ???,?? ??,https://www.hashikma-batyam.co.il/news/6350/
??????,27/09/2018,21,??????? ???????,??? ????????,??? ???,https://www.0404.co.il/?p=254434
???,28/09/2018,30,???????,???? 60,????-?????,http://www.maariv.co.il/breaking-news/Article-662984
